,Politician,Party,Stance,Naming-form,Political-Orientation
298,Robert Habeck,Bündnis 90/Die Grünen,negative,FNLN,Rechts
299,Robert Habeck,Bündnis 90/Die Grünen,negative,LN,Rechts
300,Sahra Wagenknecht,Die Linke,negative,LN,Links
301,Sahra Wagenknecht,Die Linke,positive,LN,Links
302,Sahra Wagenknecht,Die Linke,negative,FNLN,Links
303,Sahra Wagenknecht,Die Linke,negative,LN,Links
304,Sahra Wagenknecht,Die Linke,negative,FNLN,Links
305,Sahra Wagenknecht,Die Linke,positive,FNLN,Links
306,Sahra Wagenknecht,Die Linke,negative,FNLN,Links
307,Sahra Wagenknecht,Die Linke,positive,FNLN,Rechts
310,Sahra Wagenknecht,Die Linke,positive,LN,Rechts
311,Sahra Wagenknecht,Die Linke,negative,LN,Links
312,Sahra Wagenknecht,Die Linke,negative,LN,Rechts
313,Sahra Wagenknecht,Die Linke,positive,FNLN,Rechts
316,Sahra Wagenknecht,Die Linke,positive,FNLN,Links
317,Sahra Wagenknecht,Die Linke,negative,LN,Links
318,Sahra Wagenknecht,Die Linke,negative,LN,Links
319,Sahra Wagenknecht,Die Linke,positive,FNLN,Rechts
320,Sahra Wagenknecht,Die Linke,positive,FNLN,Links
321,Sahra Wagenknecht,Die Linke,positive,FNLN,Rechts
322,Sahra Wagenknecht,Die Linke,positive,FNLN,Links
323,Sahra Wagenknecht,Die Linke,positive,LN,Links
324,Sahra Wagenknecht,Die Linke,negative,FNLN,Links
325,Sahra Wagenknecht,Die Linke,negative,FNLN,Links
327,Sahra Wagenknecht,Die Linke,negative,FNLN,Rechts
328,Sahra Wagenknecht,Die Linke,negative,FNLN,Links
329,Sahra Wagenknecht,Die Linke,positive,LN,Links
330,Sahra Wagenknecht,Die Linke,negative,LN,Links
332,Sahra Wagenknecht,Die Linke,positive,LN,Rechts
333,Sahra Wagenknecht,Die Linke,negative,FNLN,Links
334,Simone Peter,Die Linke,negative,TLN,Rechts
336,Simone Peter,Die Linke,negative,LN,Links
338,Simone Peter,Die Linke,positive,LN,Links
339,Simone Peter,Die Linke,positive,FNLN,Links
340,Simone Peter,Die Linke,negative,LN,Links
341,Simone Peter,Die Linke,positive,LN,Links
348,Simone Peter,Die Linke,positive,LN,Links
350,Simone Peter,Die Linke,positive,LN,Links
352,Simone Peter,Die Linke,positive,LN,Links
354,Simone Peter,Die Linke,positive,FNLN,Rechts
355,Simone Peter,Die Linke,negative,LN,Rechts
356,Simone Peter,Die Linke,negative,FNLN,Links
357,Simone Peter,Die Linke,positive,LN,Links
361,Simone Peter,Die Linke,positive,LN,Links
362,Simone Peter,Die Linke,negative,LN,Rechts
365,Simone Peter,Die Linke,positive,LN,Links
366,Simone Peter,Die Linke,positive,LN,Links
